TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T7207,C0000570,02/08/95,F,PUNE,49799.21,05/01/22,003333,5219.13
T2895,C0000236,07/10/79,F,BANGALORE,19160.44,05/01/22,014924,959.25
T7806,C0000621,03/07/79,F,PUNE,28588.7,05/01/22,023042,3811.38
T8661,C0000690,23/09/94,M,CHENNAI,23803.44,05/01/22,030408,1785.0
T8368,C0000668,18/06/63,F,DELHI,64323.5,05/01/22,031734,1984.18
T12339,C0000980,17/01/79,F,AHMEDABAD,12230.16,05/01/22,044159,887.26
T7314,C0000581,24/04/65,F,MUMBAI,6672.92,05/01/22,073109,60.15
T8923,C0000709,29/07/72,M,LUCKNOW,11160.03,05/01/22,073559,947.7
T10398,C0000824,18/08/79,F,DELHI,66966.87,05/01/22,082323,731.98
T1427,C0000119,01/10/65,M,DELHI,1246.05,05/01/22,101550,2215.34
T10338,C0000819,07/03/62,M,CHENNAI,31021.97,05/01/22,151531,599.29
T6266,C0000500,24/11/64,M,HYDERABAD,173549.85,05/01/22,151657,2039.43
T12512,C0000994,27/09/68,M,PUNE,37721.43,05/01/22,183511,8320.61
T1235,C0000103,06/10/66,M,CHENNAI,35828.6,05/01/22,204615,696.66
T12467,C0000990,16/09/73,F,BANGALORE,533158.97,05/01/22,213640,302.29
T512,C0000044,18/04/74,M,HYDERABAD,18851.03,06/01/22,020116,591.22
T11011,C0000872,04/11/86,M,PUNE,15781.92,06/01/22,033707,666.97
T8325,C0000665,28/12/76,M,CHENNAI,50333.31,06/01/22,051637,562.61
T3960,C0000318,04/05/66,F,LUCKNOW,13046.42,06/01/22,084413,257.27
T821,C0000070,20/01/71,M,DELHI,39494.95,06/01/22,092823,3754.55
T3982,C0000319,04/08/87,F,LUCKNOW,4993.75,06/01/22,094412,580.91
T4299,C0000344,19/05/95,F,KOLKATA,37168.73,06/01/22,120326,781.73
T8463,C0000675,07/10/92,F,PUNE,23491.82,06/01/22,123241,5300.09
T7705,C0000612,13/02/91,M,AHMEDABAD,52256.71,06/01/22,124024,827.5
T4156,C0000332,07/12/70,M,HYDERABAD,9460.17,06/01/22,131301,460.87
T3098,C0000252,05/08/86,M,PUNE,36416.76,06/01/22,172851,892.93
T6223,C0000497,23/02/99,M,PUNE,20311.3,06/01/22,182359,3982.84
T1840,C0000152,05/12/87,F,MUMBAI,33925.51,06/01/22,195631,3399.68
T5312,C0000425,09/11/71,M,LUCKNOW,20899.8,06/01/22,213356,2615.0
T1495,C0000125,17/06/00,M,PUNE,4613.81,06/01/22,224750,6140.54
T4743,C0000378,09/02/64,M,PUNE,21165.03,07/01/22,021112,138.26
T5784,C0000464,06/03/98,F,PUNE,83495.79,07/01/22,042354,2873.98
T9005,C0000717,13/09/97,M,HYDERABAD,39928.85,07/01/22,044941,1566.5
T10216,C0000808,31/05/82,F,DELHI,20361.66,07/01/22,053920,4375.26
T9,C0000001,06/09/88,M,MUMBAI,36196.37,07/01/22,054427,2474.61
T2574,C0000208,14/06/64,M,HYDERABAD,20707.18,07/01/22,075351,413.79
T1712,C0000141,01/09/84,F,JAIPUR,3354.81,07/01/22,091413,183.01
T7812,C0000622,15/02/60,F,LUCKNOW,3716.59,07/01/22,091550,3332.66
T11669,C0000920,27/08/90,F,PUNE,6333.49,07/01/22,103045,98.5
T10055,C0000794,21/07/87,M,LUCKNOW,29277.27,07/01/22,120501,718.25
T3651,C0000293,03/01/81,F,PUNE,32477.8,07/01/22,145148,30.4
T3876,C0000310,26/10/82,M,MUMBAI,12272.21,07/01/22,155352,1880.35
T11123,C0000880,25/08/82,M,MUMBAI,20479.46,07/01/22,160725,670.69
T10619,C0000840,04/04/90,M,LUCKNOW,50289.78,07/01/22,165830,360.41
T6103,C0000487,05/07/87,M,PUNE,108464.47,07/01/22,170006,1642.17
T1553,C0000129,03/01/68,F,HYDERABAD,8756.83,07/01/22,170254,1057.55
T7686,C0000611,07/07/94,M,CHENNAI,53231.05,07/01/22,172752,21186.47
T11700,C0000922,11/11/64,F,PUNE,15570.54,07/01/22,181625,1050.76
T7962,C0000633,01/08/88,F,PUNE,41346.35,07/01/22,200636,949.56
T11625,C0000917,04/06/78,M,BANGALORE,10176.65,07/01/22,203030,369.89
T12261,C0000972,20/04/97,F,CHENNAI,54081.34,07/01/22,232016,1940.12
T11907,C0000942,14/08/63,F,LUCKNOW,29190.06,07/01/22,233535,103.56
T10814,C0000857,25/10/91,F,PUNE,9119.6,08/01/22,020538,97.51
T7349,C0000583,30/01/81,M,BANGALORE,16023.98,08/01/22,055118,8257.71
T2708,C0000221,08/12/69,M,KOLKATA,18129.63,08/01/22,065240,11698.05
T5903,C0000473,16/03/84,F,PUNE,67831.14,08/01/22,074445,5697.18
T7546,C0000600,27/09/97,M,JAIPUR,8879.47,08/01/22,094934,1055.97
T11519,C0000910,03/12/87,F,HYDERABAD,6494.45,08/01/22,095147,765.72
T5275,C0000423,07/10/60,F,HYDERABAD,14766.26,08/01/22,105529,358.61
T3000,C0000244,14/06/67,M,KOLKATA,60321.51,08/01/22,123833,5367.37
T10622,C0000840,04/04/90,M,LUCKNOW,50289.78,08/01/22,131142,2113.84
T8486,C0000677,20/02/64,M,JAIPUR,16398.48,08/01/22,131807,3000.48
T11905,C0000942,14/08/63,F,LUCKNOW,29190.06,08/01/22,155441,16670.22
T1195,C0000100,14/01/89,M,CHENNAI,10036.77,08/01/22,164253,1239.85
T11086,C0000877,08/11/85,F,JAIPUR,63956.84,08/01/22,170041,180.55
T7507,C0000597,19/10/94,M,CHENNAI,2006.04,08/01/22,170122,65.87
T1622,C0000134,12/09/88,F,HYDERABAD,58407.39,08/01/22,172312,8608.35
T10947,C0000866,18/08/81,M,MUMBAI,4958.81,08/01/22,174437,716.03
T8734,C0000695,12/03/84,F,PUNE,9020.24,08/01/22,175836,56.34
T1496,C0000125,17/06/00,M,PUNE,4613.81,08/01/22,183307,1299.72
T3859,C0000308,24/12/84,M,KOLKATA,11500.81,08/01/22,183723,702.0
T2998,C0000244,14/06/67,M,KOLKATA,60321.51,08/01/22,213750,81032.42
T10323,C0000818,22/09/62,M,JAIPUR,5749.05,08/01/22,215831,190.92
T3155,C0000256,12/10/92,M,AHMEDABAD,43567.62,08/01/22,222744,398.46
T8917,C0000708,02/06/00,F,CHENNAI,14039.52,09/01/22,012912,174.07
T2532,C0000205,29/02/80,M,CHENNAI,160662.49,09/01/22,034054,663.34
T9353,C0000742,09/06/76,M,JAIPUR,8260.46,09/01/22,042232,924.74
T5176,C0000413,22/12/62,F,MUMBAI,5720.57,09/01/22,043427,6497.8
T6633,C0000527,11/01/69,F,HYDERABAD,1553.35,09/01/22,052322,599.08
T1637,C0000135,25/01/82,M,HYDERABAD,18473.9,09/01/22,070509,13940.82
T3892,C0000311,22/11/97,M,AHMEDABAD,32721.87,09/01/22,070837,250.06
T1189,C0000100,14/01/89,M,CHENNAI,10036.77,09/01/22,071638,209.55
T9214,C0000731,19/06/87,F,MUMBAI,23386.4,09/01/22,073627,821.0
T3195,C0000258,21/11/78,F,JAIPUR,44152.4,09/01/22,133018,905.53
T8736,C0000695,12/03/84,F,PUNE,9020.24,09/01/22,202948,4000.33
T9952,C0000785,25/01/63,F,DELHI,10845.57,10/01/22,002927,10535.08
T10763,C0000853,21/02/66,M,CHENNAI,35510.68,10/01/22,003731,1149.85
T7199,C0000569,22/02/80,M,JAIPUR,40428.45,10/01/22,050410,82.59
T7366,C0000585,10/05/76,M,DELHI,67573.22,10/01/22,061223,131.2
T780,C0000065,08/07/61,M,MUMBAI,43252.9,10/01/22,063229,1407.65
T9031,C0000718,10/01/95,M,KOLKATA,6139.9,10/01/22,073436,394.21
T1022,C0000086,27/06/80,M,HYDERABAD,31147.48,10/01/22,100048,225.85
T9717,C0000769,08/02/80,F,JAIPUR,17225.6,10/01/22,121714,1221.09
T9102,C0000723,02/10/65,M,KOLKATA,2773.5,10/01/22,130431,842.02
T3244,C0000261,23/09/62,M,PUNE,20992.31,10/01/22,162932,516.63
T7184,C0000568,02/02/84,M,BANGALORE,32393.43,10/01/22,163317,1764.16
T8530,C0000680,14/08/80,M,CHENNAI,102477.31,10/01/22,171843,4145.88
T3046,C0000248,28/01/60,F,MUMBAI,11757.73,10/01/22,175429,1820.81
T12534,C0000996,03/03/65,M,AHMEDABAD,15172.26,10/01/22,175946,2565.51
T4271,C0000341,24/09/62,M,CHENNAI,81772.27,10/01/22,182755,52.99
T9867,C0000780,15/05/61,M,LUCKNOW,27619.91,10/01/22,190426,20854.59
T3593,C0000288,27/05/68,F,AHMEDABAD,56954.95,10/01/22,192230,1724.25
T5219,C0000417,12/05/86,F,CHENNAI,15988.34,10/01/22,202345,3167.03
T2695,C0000219,11/05/88,M,LUCKNOW,14411.24,10/01/22,211126,3418.25
T3136,C0000255,22/06/77,M,HYDERABAD,52137.31,10/01/22,213245,102.98
T4729,C0000377,25/09/71,M,AHMEDABAD,7174.22,10/01/22,230047,1483.97
T7594,C0000603,20/12/67,M,BANGALORE,5847.31,11/01/22,003620,2879.88
T3537,C0000283,23/11/78,M,DELHI,25834.41,11/01/22,040620,185.67
T6311,C0000504,19/02/74,F,DELHI,34257.56,11/01/22,055526,129.55
T11424,C0000902,31/03/82,M,AHMEDABAD,46780.11,11/01/22,060755,1655.24
T4015,C0000322,23/05/97,F,BANGALORE,120503.73,11/01/22,062823,90.77
T1518,C0000127,27/04/87,M,PUNE,22566.45,11/01/22,065442,222.83
T3751,C0000299,02/09/78,M,JAIPUR,9804.72,11/01/22,072647,1978.24
T8403,C0000671,13/11/89,F,AHMEDABAD,15259.01,11/01/22,093741,10251.78
T6767,C0000538,17/08/68,M,MUMBAI,10769.65,11/01/22,113943,2174.11
T9823,C0000776,20/07/91,M,DELHI,362715.11,11/01/22,130350,1689.56
T3151,C0000255,22/06/77,M,HYDERABAD,52137.31,11/01/22,134332,24.57
T7415,C0000588,18/09/60,M,AHMEDABAD,54612.75,11/01/22,144157,846.78
T3415,C0000274,23/03/79,F,KOLKATA,75298.45,11/01/22,175057,7428.55
T4613,C0000368,22/09/88,M,MUMBAI,67456.95,11/01/22,204425,181.83
T1444,C0000121,01/09/66,F,PUNE,21560.81,11/01/22,211554,3311.86
T7489,C0000594,20/10/84,F,HYDERABAD,2772.89,11/01/22,214559,496.02
T10653,C0000843,09/04/00,F,PUNE,73681.22,11/01/22,215427,1006.01
T7573,C0000602,03/12/83,M,HYDERABAD,45373.11,12/01/22,003844,541.24
T5430,C0000435,10/07/84,M,HYDERABAD,75209.3,12/01/22,004942,468.69
T6350,C0000507,01/03/00,M,AHMEDABAD,276489.4,12/01/22,023113,1376.24
T2849,C0000232,26/12/00,F,PUNE,44034.24,12/01/22,052055,6639.54
T992,C0000084,11/02/69,M,JAIPUR,6034.92,12/01/22,053122,522.89
T8381,C0000669,01/08/93,M,PUNE,16292.72,12/01/22,062552,4209.91
T7907,C0000628,24/04/99,F,PUNE,11681.07,12/01/22,063702,7328.27
T4870,C0000388,25/01/61,F,MUMBAI,33654.08,12/01/22,085900,362.11
T11265,C0000891,02/12/69,F,PUNE,109408.54,12/01/22,094649,263.69
T7796,C0000621,03/07/79,F,PUNE,28588.7,12/01/22,103945,995.1
T7768,C0000618,22/04/63,M,HYDERABAD,27742.25,12/01/22,122625,123.06
T4117,C0000329,14/07/75,M,PUNE,38249.51,12/01/22,154142,350.01
T7266,C0000575,01/03/79,M,HYDERABAD,20377.34,12/01/22,154727,997.91
T1409,C0000118,16/07/77,F,BANGALORE,15180.9,12/01/22,175535,18525.06
T7849,C0000624,20/02/74,M,MUMBAI,7322.55,12/01/22,181557,408.47
T3680,C0000295,08/04/93,M,AHMEDABAD,3328.75,12/01/22,181902,1869.64
T5378,C0000430,01/02/66,M,CHENNAI,25254.17,12/01/22,182607,638.09
T4413,C0000352,16/11/68,M,MUMBAI,42995.04,12/01/22,183030,246.75
T2889,C0000235,04/02/77,F,PUNE,16303.58,12/01/22,211709,640.95
T38,C0000004,07/03/85,F,LUCKNOW,50138.52,12/01/22,214607,1418.07
T9159,C0000727,13/05/62,M,MUMBAI,32199.29,12/01/22,225811,212.35
T12436,C0000987,14/02/94,F,JAIPUR,38844.84,13/01/22,015059,430.2
T12149,C0000964,30/07/95,M,AHMEDABAD,5289.8,13/01/22,042400,4056.74
T11833,C0000933,17/02/75,M,DELHI,3863.39,13/01/22,043321,2776.72
T12185,C0000967,10/09/72,M,AHMEDABAD,48636.88,13/01/22,055046,1600.9
T10225,C0000809,20/06/85,F,AHMEDABAD,108891.9,13/01/22,064533,4845.72
T1004,C0000085,03/04/82,F,JAIPUR,15968.37,13/01/22,070230,743.55
T7930,C0000631,13/07/67,F,BANGALORE,188772.31,13/01/22,075126,600.75
T10956,C0000867,27/07/68,M,CHENNAI,53629.63,13/01/22,082914,3243.78
T2017,C0000164,25/07/92,M,CHENNAI,25636.13,13/01/22,095951,824.64
T12556,C0001000,02/10/63,F,HYDERABAD,47154.86,13/01/22,115012,586.03
T2028,C0000165,18/12/90,M,HYDERABAD,4455.42,13/01/22,130633,22844.47
T2823,C0000231,07/06/73,F,HYDERABAD,10835.24,13/01/22,154132,338.45
T3275,C0000263,01/09/96,F,LUCKNOW,19862.1,13/01/22,190624,324.21
T10100,C0000799,21/11/86,F,JAIPUR,15739.57,13/01/22,201525,397.22
T10496,C0000832,13/01/81,M,DELHI,32225.72,13/01/22,211139,3021.46
T1562,C0000130,28/04/91,F,HYDERABAD,39604.33,13/01/22,211324,537.88
T7039,C0000557,21/12/78,M,CHENNAI,40455.08,13/01/22,212012,406.97
T991,C0000084,11/02/69,M,JAIPUR,6034.92,13/01/22,220844,4887.32
T7850,C0000624,20/02/74,M,MUMBAI,7322.55,13/01/22,221920,449.55
T1152,C0000097,26/09/62,F,JAIPUR,290601.83,13/01/22,223937,1557.25
T2143,C0000174,17/11/63,F,JAIPUR,162051.18,13/01/22,224626,3859.95
T3280,C0000263,01/09/96,F,LUCKNOW,19862.1,14/01/22,005006,4101.57
T6408,C0000512,11/08/93,M,DELHI,6087.55,14/01/22,040240,1045.99
T7895,C0000628,24/04/99,F,PUNE,11681.07,14/01/22,044724,521.94
T1687,C0000140,28/12/87,F,MUMBAI,26072.98,14/01/22,064131,213.66
T2921,C0000238,03/05/89,F,MUMBAI,12054.33,14/01/22,070139,8046.25
T6107,C0000488,15/04/81,F,AHMEDABAD,17751.28,14/01/22,082808,69.38
T3601,C0000289,22/01/96,F,AHMEDABAD,2450.07,14/01/22,111945,3922.24
T10853,C0000860,26/01/62,M,DELHI,23018.76,14/01/22,143506,6070.39
T8880,C0000706,01/09/67,M,PUNE,95458.07,14/01/22,154012,103.39
T8475,C0000676,23/07/67,M,JAIPUR,4004.66,14/01/22,171730,2945.25
T4019,C0000322,23/05/97,F,BANGALORE,120503.73,14/01/22,191702,4499.73
T6338,C0000506,26/05/77,M,MUMBAI,12518.21,14/01/22,200125,306.03
T3277,C0000263,01/09/96,F,LUCKNOW,19862.1,14/01/22,205902,862.18
T1265,C0000105,05/10/90,M,KOLKATA,32591.41,14/01/22,210558,290.85
T3590,C0000288,27/05/68,F,AHMEDABAD,56954.95,14/01/22,213027,1578.94
T2296,C0000187,14/02/63,F,HYDERABAD,122930.93,14/01/22,213143,21780.56
T3220,C0000259,22/01/77,F,JAIPUR,5786.45,14/01/22,213549,6188.11
T1356,C0000113,09/05/95,F,JAIPUR,32685.0,14/01/22,231612,182.4
T12521,C0000994,27/09/68,M,PUNE,37721.43,15/01/22,004400,1371.05
T9165,C0000728,24/07/83,M,MUMBAI,7192.18,15/01/22,035734,636.02
T11150,C0000882,11/07/77,F,AHMEDABAD,254889.91,15/01/22,045043,188.44
T6913,C0000548,19/09/84,M,LUCKNOW,47075.13,15/01/22,045928,442.08
T12357,C0000981,21/02/72,F,BANGALORE,34031.72,15/01/22,070341,445.72
T7129,C0000564,06/06/64,M,BANGALORE,54299.56,15/01/22,085356,10295.94
T1233,C0000103,06/10/66,M,CHENNAI,35828.6,15/01/22,104853,661.41
T7202,C0000569,22/02/80,M,JAIPUR,40428.45,15/01/22,115721,4175.61
T10392,C0000823,25/08/61,M,PUNE,34546.26,15/01/22,132001,2344.63
T4770,C0000380,19/09/95,F,AHMEDABAD,54609.45,15/01/22,135052,1787.13
T10589,C0000838,15/04/90,M,AHMEDABAD,26481.91,15/01/22,153454,7.53
T10230,C0000810,12/03/67,M,CHENNAI,25949.93,15/01/22,170223,359.97
T283,C0000026,28/04/91,F,DELHI,24768.49,15/01/22,172605,2491.51
T3154,C0000256,12/10/92,M,AHMEDABAD,43567.62,15/01/22,191258,23630.49
T4245,C0000340,07/10/81,M,JAIPUR,21895.69,15/01/22,210421,826.84
T4036,C0000323,31/03/99,M,MUMBAI,4527.04,15/01/22,212526,2662.88
T2429,C0000196,01/03/83,M,LUCKNOW,7060.8,15/01/22,223327,2027.67
T2002,C0000163,25/06/60,F,AHMEDABAD,22491.36,15/01/22,230738,11740.63
T6589,C0000525,18/01/76,M,MUMBAI,8272.56,16/01/22,023955,264.25
T5970,C0000478,02/10/81,F,MUMBAI,3295.55,16/01/22,024552,549.0
T10146,C0000802,29/09/80,M,DELHI,7208.81,16/01/22,031842,3604.34
T10043,C0000794,21/07/87,M,LUCKNOW,29277.27,16/01/22,041051,389.98
T7162,C0000566,11/09/80,M,LUCKNOW,30721.54,16/01/22,042111,97.15
T3372,C0000271,07/10/94,M,MUMBAI,4708.85,16/01/22,044955,248.41
T3845,C0000307,28/08/63,F,PUNE,13163.69,16/01/22,050726,5953.12
T8540,C0000681,13/11/77,M,HYDERABAD,73609.97,16/01/22,051710,1685.1
T1804,C0000148,15/11/79,F,BANGALORE,29972.95,16/01/22,082614,7279.97
T6205,C0000495,03/01/77,F,DELHI,3806.87,16/01/22,114935,318.7
T7517,C0000598,08/04/82,F,CHENNAI,3190.51,16/01/22,121138,289.08
T1638,C0000135,25/01/82,M,HYDERABAD,18473.9,16/01/22,151321,430.96
T7729,C0000615,05/05/85,M,AHMEDABAD,5693.81,16/01/22,170233,149.11
T1913,C0000157,31/05/69,F,CHENNAI,12298.61,16/01/22,193532,4399.84
T3753,C0000299,02/09/78,M,JAIPUR,9804.72,16/01/22,231552,1439.25
T1526,C0000127,27/04/87,M,PUNE,22566.45,16/01/22,234504,1467.88
T8032,C0000640,20/09/65,M,CHENNAI,15916.99,17/01/22,004404,11550.02
T6723,C0000534,29/11/65,M,BANGALORE,45214.3,17/01/22,022945,968.13
T6177,C0000493,14/11/91,F,BANGALORE,6190.11,17/01/22,024433,3146.32
T8246,C0000659,14/08/80,M,LUCKNOW,7510.87,17/01/22,033055,580.71
T7897,C0000628,24/04/99,F,PUNE,11681.07,17/01/22,042331,80.07
T729,C0000061,16/12/66,F,CHENNAI,34862.95,17/01/22,071304,90.79
T5117,C0000409,01/06/82,M,MUMBAI,36482.28,17/01/22,075728,438.14
T767,C0000064,02/07/69,M,DELHI,13130.74,17/01/22,083559,145.96
T9423,C0000746,02/05/70,M,HYDERABAD,63303.4,17/01/22,120218,233.54
T9226,C0000732,28/04/72,F,LUCKNOW,8427.2,17/01/22,134406,232.32
T11942,C0000946,28/01/86,F,CHENNAI,25223.16,17/01/22,173225,1115.97
T10960,C0000868,06/10/93,M,AHMEDABAD,50107.27,17/01/22,204024,1092.94
T11003,C0000871,30/01/87,F,LUCKNOW,7121.94,17/01/22,210947,301.29
T3809,C0000303,03/08/66,M,CHENNAI,16411.83,17/01/22,215454,341.7
T2693,C0000219,11/05/88,M,LUCKNOW,14411.24,17/01/22,220841,1877.47
T2523,C0000204,04/02/96,F,DELHI,156778.18,17/01/22,221254,5000.01
T5565,C0000445,22/10/61,M,CHENNAI,69748.28,17/01/22,222816,312.43
T10210,C0000808,31/05/82,F,DELHI,20361.66,17/01/22,224617,357.4
T9399,C0000744,13/10/73,F,MUMBAI,19395.58,18/01/22,015748,435.97
T8491,C0000677,20/02/64,M,JAIPUR,16398.48,18/01/22,020157,245.08
T5887,C0000472,25/09/66,F,PUNE,7801.01,18/01/22,031429,56.1
T8871,C0000705,16/11/91,F,DELHI,16040.9,18/01/22,043712,308.48
T10611,C0000840,04/04/90,M,LUCKNOW,50289.78,18/01/22,065527,458.35
T2242,C0000181,19/08/73,F,JAIPUR,49949.99,18/01/22,081037,777.37
T9335,C0000739,12/05/67,M,CHENNAI,14173.05,18/01/22,101753,2183.77
T634,C0000053,18/03/75,F,BANGALORE,10119.13,18/01/22,112143,764.72
T1398,C0000117,12/01/85,M,LUCKNOW,18148.45,18/01/22,124307,968.72
T9947,C0000785,25/01/63,F,DELHI,10845.57,18/01/22,130747,1817.23
T3797,C0000302,09/05/92,F,JAIPUR,52030.47,18/01/22,140029,899.42
T8102,C0000646,14/09/85,F,MUMBAI,5002.05,18/01/22,141254,728.77
T6192,C0000494,24/04/77,F,PUNE,28025.69,18/01/22,145348,1359.62
T2262,C0000182,10/11/86,M,JAIPUR,38739.15,18/01/22,152219,3085.79
